filename,start,end,label
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,235.756,237.16,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,398.692,400.171,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,438.909,440.314,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,451.052,452.272,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,565.381,566.675,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,567.636,568.893,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,547.343,548.562,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,632.119,633.376,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,637.22,638.44,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,642.562,643.929,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,645.888,647.515,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,654.02,655.684,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,672.817,674.073,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,712.793,713.643,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,735.175,736.247,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,711.721,712.978,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,749.831,751.051,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,784.595,785.926,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,858.653,860.316,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,890.294,892.29,up
NOPP6_EST_20090328/NOPP6_EST_20090328_000000.wav,895.099,896.467,up
NOPP6_EST_20090328/NOPP6_EST_20090328_001500.wav,38.328,39.844,up
NOPP6_EST_20090328/NOPP6_EST_20090328_001500.wav,114.585,115.841,up
NOPP6_EST_20090328/NOPP6_EST_20090328_001500.wav,262.773,263.956,up
NOPP6_EST_20090328/NOPP6_EST_20090328_001500.wav,271.09,272.679,up
NOPP6_EST_20090328/NOPP6_EST_20090328_001500.wav,324.576,325.574,up
NOPP6_EST_20090328/NOPP6_EST_20090328_001500.wav,335.351,336.571,up
